FirstName,LastName,Position,Team,Abbreviation,Division,Conference,Username,Department,Company
Matthew,Bergeron,G,Atlanta Falcons,ATL,NFC South,NFC,mbergeron_g,Atlanta Falcons,NFL
Chris,Blair,WR,Atlanta Falcons,ATL,NFC South,NFC,cblair_wr,Atlanta Falcons,NFL
Nathan,Carter,RB,Atlanta Falcons,ATL,NFC South,NFC,ncarter_rb,Atlanta Falcons,NFL
Jahan,Dotson,WR,Atlanta Falcons,ATL,NFC South,NFC,jdotson_wr,Atlanta Falcons,NFL
Dylan,Drummond,WR,Atlanta Falcons,ATL,NFC South,NFC,ddrummond_wr,Atlanta Falcons,NFL
Tyler,Goodson,RB,Atlanta Falcons,ATL,NFC South,NFC,tgoodson_rb,Atlanta Falcons,NFL
Kyle,Hinton,G,Atlanta Falcons,ATL,NFC South,NFC,khinton_g,Atlanta Falcons,NFL
Austin,Hooper,TE,Atlanta Falcons,ATL,NFC South,NFC,ahooper_te,Atlanta Falcons,NFL
Michael,Jerrell,OT,Atlanta Falcons,ATL,NFC South,NFC,mjerrell_ot,Atlanta Falcons,NFL
Corey,Levin,G,Atlanta Falcons,ATL,NFC South,NFC,clevin_g,Atlanta Falcons,NFL
Chris,Lindstrom,G,Atlanta Falcons,ATL,NFC South,NFC,clindstrom_g,Atlanta Falcons,NFL
Drake,London,WR,Atlanta Falcons,ATL,NFC South,NFC,dlondon_wr,Atlanta Falcons,NFL
Jake,Matthews,OT,Atlanta Falcons,ATL,NFC South,NFC,jmatthews_ot,Atlanta Falcons,NFL
Kaleb,McGary,OT,Atlanta Falcons,ATL,NFC South,NFC,kmcgary_ot,Atlanta Falcons,NFL
Jack,Nelson,OT,Atlanta Falcons,ATL,NFC South,NFC,jnelson_ot,Atlanta Falcons,NFL
Ryan,Neuzil,C,Atlanta Falcons,ATL,NFC South,NFC,rneuzil_c,Atlanta Falcons,NFL
Storm,Norton,OT,Atlanta Falcons,ATL,NFC South,NFC,snorton_ot,Atlanta Falcons,NFL
Michael,Penix Jr.,QB,Atlanta Falcons,ATL,NFC South,NFC,mpenixjr_qb,Atlanta Falcons,NFL
Kyle,Pitts Sr.,TE,Atlanta Falcons,ATL,NFC South,NFC,kpittssr._te,Atlanta Falcons,NFL
Bijan,Robinson,RB,Atlanta Falcons,ATL,NFC South,NFC,brobinson_rb,Atlanta Falcons,NFL
Brian,Robinson Jr.,RB,Atlanta Falcons,ATL,NFC South,NFC,brobinsonjr_rb,Atlanta Falcons,NFL
Trevor,Siemian,QB,Atlanta Falcons,ATL,NFC South,NFC,tsiemian_qb,Atlanta Falcons,NFL
Joshua,Simon,TE,Atlanta Falcons,ATL,NFC South,NFC,jsimon_te,Atlanta Falcons,NFL
Andrew,Stueber,G,Atlanta Falcons,ATL,NFC South,NFC,astueber_g,Atlanta Falcons,NFL
Tua,Tagovailoa,QB,Atlanta Falcons,ATL,NFC South,NFC,ttagovailoa_qb,Atlanta Falcons,NFL
Deven,Thompkins,WR,Atlanta Falcons,ATL,NFC South,NFC,dthompkins_wr,Atlanta Falcons,NFL
Casey,Washington,WR,Atlanta Falcons,ATL,NFC South,NFC,cwashington_wr,Atlanta Falcons,NFL
Carlos,Washington Jr.,RB,Atlanta Falcons,ATL,NFC South,NFC,cwashingtonjr_rb,Atlanta Falcons,NFL
Charlie,Woerner,TE,Atlanta Falcons,ATL,NFC South,NFC,cwoerner_te,Atlanta Falcons,NFL
Olamide,Zaccheaus,WR,Atlanta Falcons,ATL,NFC South,NFC,ozaccheaus_wr,Atlanta Falcons,NFL
Troy,Andersen,LB,Atlanta Falcons,ATL,NFC South,NFC,tandersen_lb,Atlanta Falcons,NFL
Jessie,Bates III,S,Atlanta Falcons,ATL,NFC South,NFC,jbatesiii_s,Atlanta Falcons,NFL
JD,Bertrand,LB,Atlanta Falcons,ATL,NFC South,NFC,jbertrand_lb,Atlanta Falcons,NFL
Billy,Bowman Jr.,S,Atlanta Falcons,ATL,NFC South,NFC,bbowmanjr_s,Atlanta Falcons,NFL
Natrone,Brooks,CB,Atlanta Falcons,ATL,NFC South,NFC,nbrooks_cb,Atlanta Falcons,NFL
Sydney,Brown,S,Atlanta Falcons,ATL,NFC South,NFC,sbrown_s,Atlanta Falcons,NFL
Cobee,Bryant,CB,Atlanta Falcons,ATL,NFC South,NFC,cbryant_cb,Atlanta Falcons,NFL
Divine,Deablo,LB,Atlanta Falcons,ATL,NFC South,NFC,ddeablo_lb,Atlanta Falcons,NFL
Brandon,Dorlus,DT,Atlanta Falcons,ATL,NFC South,NFC,bdorlus_dt,Atlanta Falcons,NFL
Samson,Ebukam,DE,Atlanta Falcons,ATL,NFC South,NFC,sebukam_de,Atlanta Falcons,NFL
Mike,Ford Jr.,CB,Atlanta Falcons,ATL,NFC South,NFC,mfordjr_cb,Atlanta Falcons,NFL
Elijah,Garcia,DT,Atlanta Falcons,ATL,NFC South,NFC,egarcia_dt,Atlanta Falcons,NFL
Da'Shawn,Hand,DT,Atlanta Falcons,ATL,NFC South,NFC,dhand_dt,Atlanta Falcons,NFL
Christian,Harris,LB,Atlanta Falcons,ATL,NFC South,NFC,charris_lb,Atlanta Falcons,NFL
Zach,Harrison,DE,Atlanta Falcons,ATL,NFC South,NFC,zharrison_de,Atlanta Falcons,NFL
DeMarcco,Hellams,S,Atlanta Falcons,ATL,NFC South,NFC,dhellams_s,Atlanta Falcons,NFL
C.J.,Henderson,CB,Atlanta Falcons,ATL,NFC South,NFC,chenderson_cb,Atlanta Falcons,NFL
Darnay,Holmes,CB,Atlanta Falcons,ATL,NFC South,NFC,dholmes_cb,Atlanta Falcons,NFL
Mike,Hughes,CB,Atlanta Falcons,ATL,NFC South,NFC,mhughes_cb,Atlanta Falcons,NFL
Tysheem,Johnson,S,Atlanta Falcons,ATL,NFC South,NFC,tjohnson_s,Atlanta Falcons,NFL
LaCale,London,DE,Atlanta Falcons,ATL,NFC South,NFC,llondon_de,Atlanta Falcons,NFL
DeAngelo,Malone,LB,Atlanta Falcons,ATL,NFC South,NFC,dmalone_lb,Atlanta Falcons,NFL
Azeez,Ojulari,LB,Atlanta Falcons,ATL,NFC South,NFC,aojulari_lb,Atlanta Falcons,NFL
Ruke,Orhorhoro,DT,Atlanta Falcons,ATL,NFC South,NFC,rorhorhoro_dt,Atlanta Falcons,NFL
James,Pearce Jr.,LB,Atlanta Falcons,ATL,NFC South,NFC,jpearcejr_lb,Atlanta Falcons,NFL
Clark,Phillips III,CB,Atlanta Falcons,ATL,NFC South,NFC,cphillipsiii_cb,Atlanta Falcons,NFL
Jammie,Robinson,S,Atlanta Falcons,ATL,NFC South,NFC,jrobinson_s,Atlanta Falcons,NFL
Ben,Stille,DT,Atlanta Falcons,ATL,NFC South,NFC,bstille_dt,Atlanta Falcons,NFL
A.J.,Terrell Jr.,CB,Atlanta Falcons,ATL,NFC South,NFC,aterrelljr_cb,Atlanta Falcons,NFL
Cameron,Thomas,DE,Atlanta Falcons,ATL,NFC South,NFC,cthomas_de,Atlanta Falcons,NFL
Channing,Tindall,LB,Atlanta Falcons,ATL,NFC South,NFC,ctindall_lb,Atlanta Falcons,NFL
Bralen,Trice,LB,Atlanta Falcons,ATL,NFC South,NFC,btrice_lb,Atlanta Falcons,NFL
Malik,Verdon,S,Atlanta Falcons,ATL,NFC South,NFC,mverdon_s,Atlanta Falcons,NFL
Jalon,Walker,LB,Atlanta Falcons,ATL,NFC South,NFC,jwalker_lb,Atlanta Falcons,NFL
Xavier,Watts,S,Atlanta Falcons,ATL,NFC South,NFC,xwatts_s,Atlanta Falcons,NFL
Chris,Williams,DT,Atlanta Falcons,ATL,NFC South,NFC,cwilliams_dt,Atlanta Falcons,NFL
A.J.,Woods,CB,Atlanta Falcons,ATL,NFC South,NFC,awoods_cb,Atlanta Falcons,NFL
Jake,Bailey,P,Atlanta Falcons,ATL,NFC South,NFC,jbailey_p,Atlanta Falcons,NFL
Nick,Folk,PK,Atlanta Falcons,ATL,NFC South,NFC,nfolk_pk,Atlanta Falcons,NFL
Trenton,Gill,P,Atlanta Falcons,ATL,NFC South,NFC,tgill_p,Atlanta Falcons,NFL
Liam,McCullough,LS,Atlanta Falcons,ATL,NFC South,NFC,lmccullough_ls,Atlanta Falcons,NFL
Josh,Allen,QB,Buffalo Bills,BUF,AFC East,AFC,jallen_qb,Buffalo Bills,NFL
Kyle,Allen,QB,Buffalo Bills,BUF,AFC East,AFC,kallen_qb,Buffalo Bills,NFL
Alec,Anderson,OT,Buffalo Bills,BUF,AFC East,AFC,aanderson_ot,Buffalo Bills,NFL
Nick,Broeker,G,Buffalo Bills,BUF,AFC East,AFC,nbroeker_g,Buffalo Bills,NFL
Spencer,Brown,OT,Buffalo Bills,BUF,AFC East,AFC,sbrown_ot,Buffalo Bills,NFL
Shane,Buechele,QB,Buffalo Bills,BUF,AFC East,AFC,sbuechele_qb,Buffalo Bills,NFL
Travis,Clayton,OT,Buffalo Bills,BUF,AFC East,AFC,tclayton_ot,Buffalo Bills,NFL
Keon,Coleman,WR,Buffalo Bills,BUF,AFC East,AFC,kcoleman_wr,Buffalo Bills,NFL
James,Cook III,RB,Buffalo Bills,BUF,AFC East,AFC,jcookiii_rb,Buffalo Bills,NFL
Austin,Corbett,C,Buffalo Bills,BUF,AFC East,AFC,acorbett_c,Buffalo Bills,NFL
Lloyd,Cushenberry III,C,Buffalo Bills,BUF,AFC East,AFC,lcushenberryiii_c,Buffalo Bills,NFL
Ray,Davis,RB,Buffalo Bills,BUF,AFC East,AFC,rdavis_rb,Buffalo Bills,NFL
Dion,Dawkins,OT,Buffalo Bills,BUF,AFC East,AFC,ddawkins_ot,Buffalo Bills,NFL
Frank,Gore Jr.,RB,Buffalo Bills,BUF,AFC East,AFC,fgorejr_rb,Buffalo Bills,NFL
Stephen,Gosnell,WR,Buffalo Bills,BUF,AFC East,AFC,sgosnell_wr,Buffalo Bills,NFL
Tylan,Grable,OT,Buffalo Bills,BUF,AFC East,AFC,tgrable_ot,Buffalo Bills,NFL
Mecole,Hardman Jr.,WR,Buffalo Bills,BUF,AFC East,AFC,mhardmanjr_wr,Buffalo Bills,NFL
Jackson,Hawes,TE,Buffalo Bills,BUF,AFC East,AFC,jhawes_te,Buffalo Bills,NFL
Ty,Johnson,RB,Buffalo Bills,BUF,AFC East,AFC,tjohnson_rb,Buffalo Bills,NFL
Dalton,Kincaid,TE,Buffalo Bills,BUF,AFC East,AFC,dkincaid_te,Buffalo Bills,NFL
Dawson,Knox,TE,Buffalo Bills,BUF,AFC East,AFC,dknox_te,Buffalo Bills,NFL
Keleki,Latu,TE,Buffalo Bills,BUF,AFC East,AFC,klatu_te,Buffalo Bills,NFL
Chase,Lundt,OT,Buffalo Bills,BUF,AFC East,AFC,clundt_ot,Buffalo Bills,NFL
Connor,McGovern,C,Buffalo Bills,BUF,AFC East,AFC,cmcgovern_c,Buffalo Bills,NFL
DJ,Moore,WR,Buffalo Bills,BUF,AFC East,AFC,dmoore_wr,Buffalo Bills,NFL
Joshua,Palmer,WR,Buffalo Bills,BUF,AFC East,AFC,jpalmer_wr,Buffalo Bills,NFL
Khalil,Shakir,WR,Buffalo Bills,BUF,AFC East,AFC,kshakir_wr,Buffalo Bills,NFL
Tyrell,Shavers,WR,Buffalo Bills,BUF,AFC East,AFC,tshavers_wr,Buffalo Bills,NFL
Trent,Sherfield Sr.,WR,Buffalo Bills,BUF,AFC East,AFC,tsherfieldsr._wr,Buffalo Bills,NFL
O'Cyrus,Torrence,G,Buffalo Bills,BUF,AFC East,AFC,otorrence_g,Buffalo Bills,NFL
Sedrick,Van Pran-Granger,C,Buffalo Bills,BUF,AFC East,AFC,svanprangranger_c,Buffalo Bills,NFL
Jalen,Virgil,WR,Buffalo Bills,BUF,AFC East,AFC,jvirgil_wr,Buffalo Bills,NFL
Tommy,Akingbesote,DT,Buffalo Bills,BUF,AFC East,AFC,takingbesote_dt,Buffalo Bills,NFL
Dee,Alford,CB,Buffalo Bills,BUF,AFC East,AFC,dalford_cb,Buffalo Bills,NFL
Joe,Andreessen,LB,Buffalo Bills,BUF,AFC East,AFC,jandreessen_lb,Buffalo Bills,NFL
Christian,Benford,CB,Buffalo Bills,BUF,AFC East,AFC,cbenford_cb,Buffalo Bills,NFL
Terrel,Bernard,LB,Buffalo Bills,BUF,AFC East,AFC,tbernard_lb,Buffalo Bills,NFL
Cole,Bishop,S,Buffalo Bills,BUF,AFC East,AFC,cbishop_s,Buffalo Bills,NFL
DeWayne,Carter,DT,Buffalo Bills,BUF,AFC East,AFC,dcarter_dt,Buffalo Bills,NFL
Bradley,Chubb,LB,Buffalo Bills,BUF,AFC East,AFC,bchubb_lb,Buffalo Bills,NFL
